Battle,Date,State,CWSAC,Outcome
Battle of Middle Creek,"January 10, 1862",Kentucky,C,Union victory: Union forces under James A. Garfield defeat Confederates under Humphrey Marshall.
Battle of Mill Springs,"January 19, 1862",Kentucky,B,Union victory: Felix Zollicoffer killed.
Battle of Fort Henry,"February 6, 1862",Tennessee,B,Union victory: Ulysses S. Grant and Foote's gunboats gain control of Tennessee River by defeating Lloyd Tilghman
Battle of Roanoke Island,"February 7-8, 1862",North Carolina,B,Union victory: Union forces under Ambrose E. Burnside capture island from Henry A. Wise
Battle of Fort Donelson,"February 11-16, 1862",Tennessee,A,"Union victory: Confederate army under Simon Bolivar Buckner surrenders to Grant, Union gains control of Cumberland River"
Battle of Valverde,"February 20-21, 1862",New Mexico (New Mexico Territory at the time),B,Confederate victory: Union forces routed in New Mexico Territory.
Battle of Island Number Ten (Battle of New Madrid),"February 28 - April 8, 1862",Missouri,A,Union victory: Union victory by Pope over John P. McCown.
Battle of Pea Ridge or Elkhorn Tavern,"March 6-8, 1862",Arkansas,A,Union victory: Union victory by Samuel Ryan Curtis over Earl Van Dorn ensured continued Union control of Missouri.
Battle of Hampton Roads,"March 8-9, 1862",Virginia,B,"Inconclusive: USS Monitor battles CSS Virginia, battle ends in a draw."
Battle of New Bern,"March 14, 1862",North Carolina,B,Union victory: Union troops disembark from ships and capture the town.
First Battle of Kernstown,"March 23, 1862",Virginia,B,"Union victory: Union forces defeat Confederates under ""Stonewall"" Jackson."
Battle of Fort Macon,"March 23 - April 26, 1862",North Carolina,C,Union victory: Confederate fort surrenders after Union artillery bombardment.
Battle of Glorieta Pass,"March 26-28, 1862",New Mexico (New Mexico Territory at the time),A,"Confederate tactical victory. Union strategic victory. Dubbed the ""Gettysburg of the West""."
Siege of Yorktown (1862) (Battle of Yorktown),"April 5 - May 4, 1862",Virginia,B,Inconclusive: Union troops win skirmish near site of decisive Revolutionary War battle.
Battle of Shiloh or Pittsburg Landing,"April 6-7, 1862",Tennessee,A,"Union victory: Grant and reinforcements under Buell repulse Albert Sidney Johnston and P. G. T. Beauregard, but the Union lost more men."
Battle of Fort Pulaski,"April 10-11, 1862",Georgia,B,"Union victory: Union blockade closes Savannah, Georgia. Parrott rifle makes masonry forts obsolete."
Battle of Forts Jackson and St. Philip,"April 18-28, 1862",Louisiana,A,Union victory: Decisive battle for possession of New Orleans.
Battle of South Mills,"April 19, 1862",North Carolina,D,Inconclusive: Confederates thwart attempt to destroy a canal.
Capture of New Orleans,"April 25 - May 1, 1862",Louisiana,B,Union victory: Union forces capture city.
Siege of Corinth,"April 29 - May 30, 1862",Mississippi,A,"Union victory: Union forces capture town, Beauregard tricks Union in order to escape to Tupelo."
Battle of Williamsburg,"May 5, 1862",Virginia,B,Inconclusive: McClellan and Longstreet fight inconclusive battle.
Battle of Eltham's Landing,"May 7, 1862",Virginia,D,Inconclusive: Inconclusive Civil War battle in Virginia.
Battle of McDowell,"May 8, 1862",Virginia,C,Confederate victory: Stonewall Jackson's Confederates defeat Union forces.
Battle of Drewry's Bluff,"May 15, 1862",Virginia,B,Confederate victory: Union naval attack repelled by Confederate artillery.
Battle of Princeton Court House,"May 15-17, 1862",West Virginia (Virginia at the time),C,Confederate victory:
Battle of Front Royal,"May 23, 1862",Virginia,C,"Confederate victory: Stonewall Jackson threatens the Union rear, forces their retreat."
First Battle of Winchester,"May 25, 1862",Virginia,A,Confederate victory: Stonewall Jackson defeats Nathaniel P. Banks.
Battle of Hanover Court House,"May 27, 1862",Virginia,C,Union victory: Union victory during U.S. Civil War.
Battle of Seven Pines,"May 31 - June 1, 1862",Virginia,B,"Inconclusive: J.E. Johnston attacks Union forces, wounded, inconclusive"
Battle of Tranter's Creek,"June 5, 1862",North Carolina,D,Union victory: Confederate forces retreat after Colonel Singletary is killed.
Battle of Memphis,"June 6, 1862",Tennessee,B,Union victory: Union forces capture the city.
First Battle of Chattanooga,"June 7-8, 1862",Tennessee,D,Union victory: Union forces bombard the town.
Battle of Cross Keys,"June 8, 1862",Virginia,B,Confederate victory: John C. Fremont defeated by elements of Stonewall Jackson's force.
Battle of Port Republic,"June 9, 1862",Virginia,B,Confederate victory: Costly victory for Stonewall Jackson.
Battle of Secessionville,"June 16, 1862",South Carolina,B,"Confederate victory: Union repulsed, Union commander later court-martialed for disobeying orders."
Battle of Saint Charles,"June 17, 1862",Arkansas,C,Union victory: The USS Mound City is hit by Confederate shore gun and explodes.
Battle of Simmon's Bluff,"June 21, 1862",South Carolina,D,Union victory
Battle of Oak Grove,"June 25, 1862",Virginia,D,Inconclusive: (Seven Days Battles) Indecisive battle between McClellan and Lee.
Battle of Beaver Dam Creek or Mechanicsville,"June 26, 1862",Virginia,B,Union victory: (Seven Days) Robert E. Lee defeated.
Battle of Gaines' Mill or Chickahominy River,"June 27, 1862",Virginia,A,Confederate victory: (Seven Days) Lee defeats McClellan.
Battle of Garnett's & Golding's Farm,"June 27-28, 1862",Virginia,D,Inconclusive: (Seven Days) Indecisive battle between Lee and McClellan.
Battle of Savage's Station,"June 29, 1862",Virginia,C,Inconclusive: (Seven Days) Union forces withdraw.
Battle of Tampa,"June 30 - July 1, 1862",Florida,D,"Confederate victory: Union gunboat attacks, but later withdraws."
Battle of Glendale,"June 30, 1862",Virginia,B,Inconclusive: (Seven Days) McClellan retreats from Lee's Confederates.
Battle of White Oak Swamp,"June 30, 1862",Virginia,C,Inconclusive: Indecisive artillery duel.
Battle of Malvern Hill,"July 1, 1862",Virginia,A,Union victory: (Seven Days) McClellan defeats Lee but withdraws after battle.
Battle of Cotton Plant  (Battle of Hill's Plantation),"July 7, 1862",Arkansas,D,Union victory: Union victory in Arkansas.
First Battle of Murfreesboro,"July 13, 1862",Tennessee,C,Confederate victory.
Battle of Baton Rouge,"August 5, 1862",Louisiana,B,Union victory: Union troops repulse attempt to recapture Baton Rouge.
Battle of Kirksville,"August 6-9, 1862",Missouri,D,Union victory: Union forces capture town.
First Battle of Donaldsonville,"August 9, 1862",Louisiana,D,Union victory:
Battle of Cedar Mountain,"August 9, 1862",Virginia,B,Confederate victory: Union forces repelled by Confederate counter-attack.
First Battle of Independence,"August 11, 1862",Missouri,D,Confederate victory: Confederate victory near Kansas City.
Battle of Lone Jack,"August 15-16, 1862",Missouri,D,"Confederate victory: Confederate victory, Union commander killed. Rebels forced to withdraw after battle."
Battle of Fort Ridgely,"August 21-22, 1862",Minnesota,C,* Dakota War of 1862: Failed Santee Sioux attack on Union controlled fort.
First Battle of Rappahannock Station,"August 22-25, 1862",Virginia,D,Inconclusive: Union supplies destroyed during skirmish.
Battle of Manassas Station Ops.,"August 25-27, 1862",Virginia,B,Confederate victory: Jackson turns into Pope's rear area; destroys Manassas Station.
Second Battle of Bull Run or Second Manassas,"August 28-30, 1862",Virginia,A,Confederate victory: Lee defeats Pope's Army of Virginia
Battle of Thoroughfare Gap,"August 28, 1862",Virginia,C,Confederate victory: Longstreet defeats small Union force to arrive at Manassas battlefield.
Battle of Richmond(Kentucky),"August 30, 1862",Kentucky,B,"Confederate victory: Edmund Kirby Smith routs Union army under Brig. Gen. William ""Bull"" Nelson."
Battle of Chantilly or Ox Hill,"September 1, 1862",Virginia,B,"Inconclusive: Union forces nearly being cut off, Isaac Stevens and Philip Kearny are killed."
Battle of Harpers Ferry,"September 12-15, 1862",West Virginia (Virginia at the time),B,Confederate victory: Stonewall Jackson captures Union garrison under Dixon S. Miles
Battle of Munfordville,"September 14-17, 1862",Kentucky,B,Confederate victory: Union force surrenders.
Battle of South Mountainor Boonsboro,"September 14, 1862",Maryland,B,Union victory: McClellan defeats Lee.
Battle of Antietam or Sharpsburg,"September 17, 1862",Maryland,A,"Tactically inconclusive; strategic Union victory: McClellan ends Lee's first invasion of North, bloodiest single day of the war."
Battle of Shepherdstown,"September 19-20, 1862",West Virginia (Virginia at the time),C,Confederate victory: Confederate brigades counterattack and defeat pursuing Union brigades.
Battle of Iuka,"September 19, 1862",Mississippi,C,Union victory: Rosecrans is victorious over Price near Mississippi town.
Battle of Wood Lake,"September 23, 1862",Minnesota,C,* Dakota War of 1862: Overwhelming defeat of Santee Sioux forces during the Dakota War of 1862.
First Battle of Sabine Pass,"September 24, 1862",Texas,C,Union victory:
First Battle of Newtonia,"September 30, 1862",Missouri,C,Confederate victory: Union forces panic under bombardment from Confederate artillery.
Battle of Saint John's Bluff,"October 1-3, 1862",Florida,D,Union victory:
Second Battle of Corinth  (Battle of Corinth),"October 3-4, 1862",Mississippi,B,Union victory: Confederate attack fails.
Battle of Galveston Harbor (1862) (First Battle of Galveston),"October 4, 1862",Texas,D,Union victory:
Battle of Hatchie's Bridge,"October 5, 1862",Tennessee,C,Inconclusive: Confederate force under Earl Van Dorn escapes across river.
Battle of Perryville or Chaplin Hills,"October 8, 1862",Kentucky,A,Inconclusive: Tactical indecisive battle that ended Bragg's Kentucky campaign.
Battle of Old Fort Wayne,"October 22, 1862",Oklahoma (Indian Territory at the time),D,Union victory:
Battle of Georgia Landing,"October 27, 1862",Louisiana,C,Union victory:
Battle of Clark's Mill,"November 7, 1862",Missouri,D,Confederate victory: Union force surrenders to larger Confederate force.
Battle of Cane Hill,"November 28, 1862",Arkansas,C,Confederate victory: Small Confederate force delays Union while larger force escapes.
Battle of Prairie Grove,"December 7, 1862",Arkansas,B,Union victory: Union secures NW Arkansas.
Battle of Hartsville,"December 7, 1862",Tennessee,C,"Confederate victory: Disguised in Union uniforms, Confederates infiltrate and defeat Union forces."
Battle of Fredericksburg,"December 13, 1862",Virginia,A,Confederate victory: Lee beats back repeated frontal assaults by Burnside.
Battle of Kinston,"December 14, 1862",North Carolina,D,Union victory: Union forces under John G. Foster defeat Confederates under Nathan Evans.
Battle of White Hall,"December 16, 1862",North Carolina,D,Inconclusive: Foster fights indecisive battle with Beverly Robertson.
Battle of Goldsboro Bridge,"December 17, 1862",North Carolina,C,Union victory: Foster defeats Confederates and destroys the bridge.
"Battle of Jackson, Tennessee","December 19, 1862",Tennessee,D,Union victory: Confederate feint to distract Union forces.
Battle of Chickasaw Bayou,"December 26-29, 1862",Mississippi,B,Confederate victory: (Vicksburg Campaign) Pemberton defeats Sherman; Union attack on Confederate right flank thwarted.
Battle of Parker's Cross Roads,"December 31, 1862",Tennessee,C,Confederate victory: Confederates repel Union double-pronged assault.
Battle of Stones River  (Second Battle of Murfreesboro),"December 31, 1862 - January 2, 1863",Tennessee,A,"Union victory: Bragg forced to withdraw after losing 11,739 men."
Battle of Galveston (Second Battle of Galveston),"January 1, 1863",Texas,B,"Confederate victory: John B. Magruder expels occupying Union troops from Galveston, Texas."
Second Battle of Springfield,"January 8, 1863",Missouri,D,"Union victory: Confederates enter town, but are unable to take nearby fort."
Battle of Arkansas Post(Battle of Fort Hindman),"January 9, 1863",Arkansas,C,"Union victory: Part of Vicksburg Campaign, fight for control of mouth of Arkansas River."
Battle of Hartville,"January 9-11, 1863",Missouri,D,"Confederate victory: Confederates are victorious, but unable to continue raid."
Bear River Massacre,"January 29, 1863",Idaho (Washington Territory at the time),C,American Indian Wars: Shoshone forces massacred by Union troops.
Battle of Dover,"February 3, 1863",Tennessee,D,Union victory: Failed Confederate attack on town.
Battle of Fort McAllister (1863),"March 5, 1863",Georgia,C,Confederate victory:
Battle of Thompson's Station,"March 5, 1863",Tennessee,C,Confederate victory:
Battle of Fort Anderson,"March 13-15, 1863",North Carolina,D,Union victory: Daniel H. Hill leads unsuccessful Confederate attack on New Bern.
Battle of Kelly's Ford,"March 17, 1863",Virginia,C,Confederate victory: Indecisive cavalry battle during Civil War.
Battle of Vaught's Hill,"March 20, 1863",Tennessee,D,Union victory: Union forces withstand attack by John Hunt Morgan's Confederates.
Battle of Brentwood,"March 25, 1863",Tennessee,D,Confederate victory: Union force surrenders.
"Battle of Washington, NC","March 30 - April 20, 1863",North Carolina,D,Inconclusive: Hill unable to take North Carolina town from Union forces.
First Battle of Charleston Harbor,"April 7, 1863",South Carolina,C,Confederate victory:
Battle of Franklin (1863),"April 10, 1863",Tennessee,D,Union victory: Confederates withdraw after rearguard defeat.
Battle of Suffolk (Hill's Point) (Battle of Fort Huger),"April 11 - May 4, 1863",Virginia,C,Inconclusive
Battle of Suffolk (Norfleet House); Siege of Suffolk,"April 11 - May 4, 1863",Virginia,C,Inconclusive: Twin battles fought over Suffolk.
Battle of Fort Bisland,"April 12-13, 1863",Louisiana,D,Union victory:
Battle of Irish Bend,"April 14, 1863",Louisiana,C,Union victory:
Battle of Vermillion Bayou,"April 17, 1863",Louisiana,D,Union victory:
Battle of Cape Girardeau,"April 26, 1863",Missouri,D,Union victory: Confederate attack fails.
Battle of Grand Gulf,"April 29, 1863",Mississippi,C,Confederate victory: Unsuccessful naval attack by Grant's forces.
Battle of Snyder's Bluff,"April 29 - May 1, 1863",Mississippi,D,Confederate victory: Union feint during Vicksburg Campaign.
Battle of Day's Gap,"April 30, 1863",Alabama,C,Union victory: Union victory during a raid in Alabama.
Battle of Chancellorsville,"April 30 - May 6, 1863",Virginia,A,"Confederate victory: Lee defeats Hooker's Army of Potomac, Jackson mortally wounded."
Battle of Port Gibson,"May 1, 1863",Mississippi,B,"Union victory: in Vicksburg campaign, Grant defeats Confederates"
Battle of Chalk Bluff,"May 1-2, 1863",Arkansas,D,Confederate victory: Confederates win but can't continue raid.
Second Battle of Fredericksburg,"May 3, 1863",Virginia,B,Union victory: Union forces under John Sedgwick defeat Confederate forces left to guard the town by Lee.
Battle of Salem Church,"May 3-4, 1863",Virginia,B,Confederate victory: Lee defeats Sedgwick.
Battle of Raymond,"May 12, 1863",Mississippi,B,Union victory: Failed Confederate attempt to protect Vicksburg from approaching Federals.
"Battle of Jackson, Mississippi","May 14, 1863",Mississippi,B,"Union victory: Sherman, McPherson defeat Johnston"
Battle of Champion Hill,"May 16, 1863",Mississippi,A,Union victory: Grant defeats Pemberton.
Battle of Big Black River Bridge,"May 17, 1863",Mississippi,B,Union victory: Confederate forces trapped in Vicksburg.
Siege of Vicksburg,"May 18 - July 4, 1863",Mississippi,A,Union victory: the siege ends; Grant accepts surrender of second Confederate army under Pemberton.
Battle of Plains Store,"May 21, 1863",Louisiana,C,Union victory: Union victory near Baton Rouge.
Siege of Port Hudson,"May 21 - July 9, 1863",Louisiana,A,Union victory: last Confederate stronghold on Mississippi surrenders; Gardner surrenders to Banks.
Battle of Milliken's Bend,"June 7, 1863",Louisiana,C,"Union victory: In the largest battle fought between Confederate and Black troops, after nearly two days of close combat, the Confederates were defeated in their attempt to raise the siege of Vicksburg."
Battle of Brandy Station,"June 9, 1863",Virginia,B,Inconclusive: Pleasonton surprises J.E.B. Stuart's cavalrymen in their camps near Brandy Station.
Battle of Lake Providence,"June 9, 1863",Louisiana,D,Union victory.
Second Battle of Winchester,"June 13-15, 1863",Virginia,B,Confederate victory: Confederate victory paves way for Lee's invasion of the North.
Battle of Aldie,"June 17, 1863",Virginia,C,Inconclusive: Indecisive battle during Robert E. Lee's march north.
Battle of Middleburg,"June 17-19, 1863",Virginia,C,Inconclusive: J.E.B. Stuart retreats from engagement with Union cavalry.
Battle of LaFourche Crossing,"June 20-21, 1863",Louisiana,D,Union victory:
Battle of Upperville,"June 21, 1863",Virginia,C,Inconclusive: Indecisive cavalry battle during Lee's invasion.
Battle of Hoover's Gap,"June 24-26, 1863",Tennessee,C,Union victory: Union victory prevents Confederates in Tennessee from coming to the aid of Vicksburg.
Second Battle of Donaldsonville,"June 28, 1863",Louisiana,D,Union victory:
Battle of Goodrich's Landing,"June 29-30, 1863",Louisiana,D,Inconclusive: Confederates drive Union Black Regiments off of several plantations.
Battle of Hanover,"June 30, 1863",Pennsylvania,C,"Inconclusive: J.E.B. Stuart forced to change his route, delaying his efforts to unite with Lee's force outside Gettysburg."
Battle of Cabin Creek,"July 1-2, 1863",Oklahoma (Indian Territory at the time),C,Union victory:
Battle of Gettysburg,"July 1-3, 1863",Pennsylvania,A,"Union victory: Lee loses to Meade, Pickett's Charge fails, ends second invasion of North. Confederate army arrived in Gettysburg to resupply army, unaware of Union army nearby."
Battle of Helena,"July 4, 1863",Arkansas,B,Union victory: Confederate assault on river port fails securing eastern Arkansas for Union.
Battle of Williamsport,"July 6-16, 1863",Maryland,C,Inconclusive: Meade and Lee fight indecisive battle.
Battle of Boonsboro,"July 8, 1863",Maryland,D,Inconclusive: Indecisive action at rearguard of Lee's retreat.
Battle of Corydon,"July 9, 1863",Indiana,C,"Confederate victory: Confederate raid results in civilian casualties, including a Lutheran minister."
Battle of Fort Wagner,"July 11, 1863",South Carolina,D,Confederate victory: first of two Union attempts to take Ft. Wagner.
Battle of Kock's Plantation,"July 12-13, 1863",Louisiana,C,Confederate victory:
Battle of Grimball's Landing,"July 16, 1863",South Carolina,D,Inconclusive:
Battle of Honey Springs,"July 17, 1863",Oklahoma (Indian Territory at the time),B,"Union victory: In Indian Territory, two largely Black and American Indian forces meet. Union victory."
"Second Battle of Fort Wagner (Battle of Fort Wagner, Morris Island)","July 18, 1863",South Carolina,B,"Confederate victory: second of two Union attempts to take Ft. Wagner fails, heroism of the 54th Massachusetts."
Battle of Buffington Island,"July 19, 1863",Ohio,C,Union Victory:
Battle of Manassas Gap,"July 23, 1863",Virginia,D,"Inconclusive: Indecisive battle by day, Confederates withdraw by night."
Battle of Big Mound,"July 24-25, 1863",North Dakota (Dakota Territory at the time),C,* Dakota War of 1862: Union forces defeat Santee and Teton Sioux forces.
Battle of Dead Buffalo Lake,"July 26, 1863",North Dakota (Dakota Territory at the time),D,* Sioux Wars/Dakota War of 1862: Sibley defeats Sioux forces.
Battle of Salineville,"July 26, 1863",Ohio,D,Union victory: Confederate Brigadier General John Hunt Morgan surrenders in Ohio. The northernmost battle in the Civil War.
Battle of Stony Lake,"July 28, 1863",North Dakota (Dakota Territory  at the time),D,* Dakota War of 1862: Sioux forces escape Union forces in pursuit.
Second Battle of Fort Sumter,"August 17 - September 9, 1863",South Carolina,B,Confederate victory: Union's massive bombardment and naval attack fails to retake the fort.
Second Battle of Charleston Harbor,"August 17 - September 8, 1863",South Carolina,B,Inconclusive:
Second Battle of Chattanooga,"August 21 - September 8, 1863",Tennessee,D,Union victory: Union captures town.
Lawrence Massacre  (Quantrill's Raid),"August 23, 1863",Kansas,C,Confederate victory: Quantrill's Raiders pillage the city.
Battle of Devil's Backbone,"September 1, 1863",Arkansas,C,Union victory: Union victory after heavy fighting.
Battle of Whitestone Hill,"September 3-5, 1863",North Dakota (Dakota Territory  at the time),D,* Sioux Wars/Dakota War of 1862: Union forces defeat several American Indian tribes including the Sioux and Blackfeet.
Second Battle of Sabine Pass,"September 8, 1863",Texas,B,Confederate victory: Confederate forces place stakes in river to help aim their guns at Union ships.
Battle of Bayou Fourche,"September 10, 1863",Arkansas,B,Union victory: Union victory allows for capture of Little Rock.
Battle of Davis's Cross Roads,"September 10-11, 1863",Georgia,C,Union victory: Union forces establish defensive positions prior to Chickamauga.
Battle of Chickamauga,"September 19-20, 1863",Georgia,A,"Confederate victory: Bragg defeats Rosecrans, George Thomas of US anointed ""The Rock of Chickamauga"""
Battle of Blountville (Battle of Blountsville),"September 22, 1863",Tennessee,D,Union victory: Union forces capture town.
Battle of Stirling's Plantation,"September 29, 1863",Louisiana,D,Confederate victory:
Battle of Baxter Springs,"October 6, 1863",Kansas,C,Confederate victory: Quantrill's Raiders massacre Union Black Troops during U.S. Civil War.
Battle of Blue Springs,"October 10, 1863",Tennessee,D,Union victory: Confederate forces overrun.
First Battle of Auburn,"October 13, 1863",Virginia,D,Union victory: J.E.B. Stuart escapes by hiding in a ravine.
Battle of Bristoe Station,"October 14, 1863",Virginia,B,"Union victory: Meade defeats elements of Lee's forces, but Confederates destroy railroad during retreat."
Second Battle of Auburn,"October 14, 1863",Virginia,D,"Inconclusive: Confederates attack Union rearguard, indecisive."
Battle of Fort Brooke,"October 16-18, 1863",Florida,D,Union victory:
Battle of Buckland Mills,"October 19, 1863",Virginia,D,"Confederate victory: Union cavalry caught in ambush, defeated."
Battle of Pine Bluff,"October 25, 1863",Arkansas,D,Union victory: Confederate attack fails.
Battle of Wauhatchie,"October 28-29, 1863",Tennessee,B,Union victory: Longstreet defeated by Union forces.
Battle of Collierville,"November 3, 1863",Tennessee,D,Union victory: Abortive Confederate attack on the town.
Battle of Droop Mountain,"November 6, 1863",West Virginia,C,Union victory:
Second Battle of Rappahannock Station,"November 7, 1863",Virginia,B,"Union victory: Union forces surge across river, forcing Lee to retreat."
Battle of Campbell's Station,"November 16, 1863",Tennessee,D,Union victory: Confederate double-envelopment attempt fails.
Chattanooga Campaign,"November 23-25, 1863",Tennessee,A,Union victory: Grant defeats Braxton Bragg and relieves Union forces besieged in Chattanooga.
Battle of Mine Run,"November 27 - December 2, 1863",Virginia,B,Inconclusive: Meade bombards Lee's Confederates but then withdraws.
Battle of Ringgold Gap,"November 27, 1863",Georgia,B,Confederate victory: Confederates under Patrick Cleburne defeat Union forces under Joseph Hooker.
Battle of Fort Sanders,"November 29, 1863",Tennessee,B,Union victory: Longstreet unable to take fort due to poor quality gunpowder.
Battle of Bean's Station,"December 14, 1863",Tennessee,D,Confederate victory: Union forces withdraw a short distance.
Battle of Mossy Creek,"December 29, 1863",Tennessee,D,Union victory: Confederate cavalry forced back.
Battle of Dandridge,"January 17, 1864",Tennessee,C,Confederate victory: Union forces withdraw.
Battle of Athens,"January 26, 1864",Alabama,D,Union victory: Union victory in Northern Alabama.
Battle of Fair Garden,"January 27, 1864",Tennessee,C,Inconclusive: Union victory followed by withdrawal.
Battle of Morton's Ford,"February 6-7, 1864",Virginia,D,Inconclusive: Diversionary Union attack.
Battle of Middle Boggy Depot,"February 13, 1864",Oklahoma (Indian Territory at the time),D,Union victory:
Battle of Meridian,"February 14-20, 1864",Mississippi,C,Union victory: Sherman occupies town.
Battle of Olustee,"February 20, 1864",Florida,B,Confederate victory: Union fails to take Florida.
Battle of Okolona,"February 22, 1864",Mississippi,B,"Confederate victory: Confederate cavalry, commanded by Maj. Gen. Nathan Bedford Forrest, routed 7,000 cavalry under the command of Brig. Gen. William Sooy Smith."
First Battle of Dalton,"February 22-27, 1864",Georgia,C,"Confederate victory: After several days of intense skirmishing, Maj. Gen. George H. Thomas's army withdrew upon realizing Gen. Joseph E. Johnston's troops could repel any assault. However, the intelligence garnered from the Battle of Dalton helped pave the way for a Union victory in the summer."
Battle of Walkerton,"March 2, 1864",Virginia,C,Confederate victory: controversy surrounding the Dahlgren Affair.
Battle of Fort De Russy,"March 12-14, 1864",Louisiana,B,Union victory: Fort DeRussy fell and the Red River to Alexandria was open.
Battle of Paducah,"March 25, 1864",Kentucky,C,Confederate victory: Confederate raid by Forrest successful.
Battle of Elkin's Ferry,"April 3-4, 1864",Arkansas,C,Union victory: Confederates unable to prevent Union river crossing.
Battle of Mansfield or Sabine Cross Roads,"April 8, 1864",Louisiana,A,Confederate victory: Banks Union Red River Campaign halted by the Confederates.
